date,bitcoin,ethereum,bitcoin_cash,ripple,litecoin,tron,ethereum_classic,chainlink,stellar,cardano,dash,tezos,binancecoin,solana,matic_network,dogecoin,avalanche_2
2021-01-01,29022.41839530417,738.6169381520413,343.51952086638204,0.22053451628880869,124.79869792915004,0.02683999911266133,5.672940332550171,11.25321828571232,0.12861221073720397,0.18207113290025115,99.64434800582393,2.017079935212876,37.39459108952269,1.5158074963117758,0.017591425479418044,0.004706604844990355,3.2067767178511386
2021-01-02,29352.12679194895,730.1473402196374,341.24483827908574,0.23743683484839662,125.98137104675857,0.026945626989159296,5.698494689953246,11.855183198692153,0.13234312614253707,0.17567857930628164,88.31355491752056,2.0088636540830387,37.907080194787994,1.8411408764785613,0.017835341356914416,0.0055382718667696925,3.6658404034984597
2021-01-03,32163.824935335215,777.6960653039432,354.8116227738977,0.22186998314414794,137.70325907807623,0.02730004452412009,5.79077466771247,12.215407380146846,0.12844637784994797,0.17818495253814118,87.16510073294981,2.0024487498268826,38.3407827710088,1.802628913180411,0.019044849046885647,0.010603074626027968,3.5011306390731107
2021-01-04,33008.226203489285,967.0005967288458,419.50096491511135,0.22563669593809668,159.49543619526273,0.02976869123649589,6.630843986338377,13.649759488970336,0.13596750999625584,0.20503724018152042,89.00622752873358,2.130992266734892,41.073833461872894,2.14770799035378,0.0199551095767846,0.01008668174073207,3.4604217647014117
2021-01-05,31515.575966658354,1025.6547675669035,397.4517213108998,0.23461847392850627,152.06832261948344,0.03056010393737172,6.8550471648168,13.312713509831898,0.16322717667504288,0.2188884921904594,87.18370938660571,2.267126787840954,39.96291375628447,2.4217846067950366,0.02372012318769989,0.009591750832278645,3.515633280894971
2021-01-06,34082.20604904424,1103.3582516225742,419.6849848280874,0.22669902564356462,159.06360312204382,0.028645158592325325,7.196842680725813,14.575730987859806,0.19558882975790834,0.2592124040314695,89.17139477632641,2.3804644730706106,41.70002777344284,2.1618689571522256,0.02451036926318054,0.009841171975224853,4.291884561102384
2021-01-07,36933.520137309126,1208.5750928728885,454.7308338444526,0.2523851552432814,169.2828246096558,0.030692917806104544,7.634065734930475,17.133775411659744,0.3407261247615719,0.33184097349646713,94.36707867772606,2.6089093996320107,42.18286284478925,1.9231854639663055,0.03489382416730843,0.010463464980351351,4.622471683302943
2021-01-08,39547.08408135567,1229.4713150147782,450.5297897338637,0.32539871330586934,170.36551131211365,0.031051481738788238,7.219797856622584,16.05629436783594,0.3140609809141245,0.3005428519135833,99.4152533789461,2.5519901326720658,43.399503661775,2.3674092848829695,0.033013958608264615,0.009776329160118814,4.490586485081188
2021-01-09,40815.96185478254,1223.7296883535275,438.0420961916799,0.3215219169756062,173.13609586387813,0.030483688784289975,6.94108681852983,15.289228334622102,0.3031309582248507,0.30794772938923115,95.92310831670336,2.4563153498569625,42.46668009933768,3.2344821232005927,0.0317023682105186,0.00988819653859302,5.808799404644824
2021-01-10,40296.5290038294,1282.979575527323,585.5317610459143,0.3291685242044116,177.8924583201147,0.034313073080196405,7.830793969747309,17.684851113950348,0.31197997960880025,0.33306999365805395,110.28908200119744,2.643369401848031,44.009471856745336,3.3885883690214627,0.03358631445863765,0.010219480187400938,7.265505432305608
2021-01-11,38397.895985418174,1267.7310031512136,605.0866961352274,0.31868717998893553,171.36294881718376,0.03296941705135634,8.928494628280317,16.268787451237912,0.28948371675201234,0.306214441004005,148.7087884089041,2.7794302927967114,42.58410098557694,3.4737322317991124,0.03042168693976294,0.00988108787044481,6.59681401377156
2021-01-12,35669.90668663349,1092.9143378806064,481.24842695615223,0.29034525666307204,139.69663325676296,0.02899910857519136,7.2472241435025735,14.527894528176326,0.27338939208164054,0.27651184814117397,124.9670156926383,2.3349262044748924,38.45392552379035,3.1076274895234994,0.026039878633699266,0.008856219491507052,6.495361999451825
2021-01-13,33938.33587810088,1045.406815230412,451.73144505760035,0.2935698883632647,133.00437326579694,0.028672579455878713,7.0176170895262855,13.898650777414703,0.28089147471245074,0.287840175861167,128.0196406834139,2.290594249728469,38.11427219614462,3.58676467736862,0.026246355851997027,0.008067137131608306,7.752237665310813
2021-01-14,37456.00772548642,1132.0155910164729,496.744798039672,0.3064999201536099,147.5223343027861,0.030156684576222878,7.611080541839318,15.957004857311738,0.3040217778468776,0.31134991468664336,133.878359032718,2.487193552863672,40.22565374012507,3.520762208941768,0.030104752926420758,0.008650340588929543,8.470867268951869
2021-01-15,39232.74997140346,1216.9147884634556,527.410121783602,0.29597695623648135,152.22312208348978,0.0300361996728449,7.7588663691464905,17.726316053345872,0.30252975011093197,0.3101366394448269,132.58779794143805,2.5403209112582066,41.76107527446097,3.2781934892090505,0.03281826324349183,0.009467234495934725,9.298271816908075
2021-01-16,36787.52121668496,1171.8600177046465,490.03672312556205,0.2803368033210713,143.88016914165317,0.029774176866735454,7.610592432193874,20.609101429851815,0.2843473929618922,0.30257532244161894,124.7983731106358,2.7283576178724647,41.00211347628559,3.2557793953909067,0.03392528639237543,0.009326414267907169,9.356116878609232
2021-01-17,36254.713079410845,1234.6318700828049,491.7952129824484,0.2802087671576728,144.27234202687984,0.03022322739693512,7.793986355898006,20.498271918629428,0.29225935430589034,0.3522503951510311,125.3163290294799,2.8849303055303843,43.228026040119325,3.451865500376336,0.03289809501240734,0.009264961751825887,12.92680115690824
